species,island,site,vegzoneHumid,vegzoneTransition,vegzoneArid,microhabitat,Centroidsize,shape1,shape2,shape3,shape4,shape5,shape6,shape7,shape8,shape9,shape10,shape11,shape12,shape13,shape14,shape15,shape16,shape17,shape18,shape19,shape20,shape21,shape22,shape23,shape24,shape25,shape26,shape27,shape28
albermarlensis,SN,SN14-04,1,NA,NA,arboreal,19.05115735,-0.086219179,0.01310912,-0.026741228,-0.002083452,-0.007675602,0.013986339,-0.018478992,-0.002936123,-0.005159777,0.00864406,0.002552245,0.001163638,-0.003855116,-0.005442964,0.008014039,-2.83046e-4,0.00462818,5.56461e-4,1.22206e-4,0.002588522,-0.003291606,-0.003560011,0.002330611,-0.001244176,-2.12277e-4,4.2882e-4,-7.85426e-4,1.27275e-4
albermarlensis,SN,SN14-04,1,NA,NA,arboreal,18.49042607,-0.074293834,0.01598825,-0.011305243,0.005358921,0.012903245,0.007904065,-0.01288365,-0.00919379,-0.016987401,0.003591164,0.002117632,3.6728e-4,0.001212116,-0.00122011,1.88188e-4,-0.003855427,-0.001969521,0.001206771,-3.88481e-4,-0.001104646,-0.003210507,-0.001814954,7.39529e-4,-1.79781e-4,0.001198984,-0.001106309,-5.37239e-4,-7.84782e-4
albermarlensis,SN,SN14-04,1,NA,NA,arboreal,18.60561588,-0.068137395,0.007407198,8.58793e-4,-0.003634103,0.013645908,0.001853238,-0.009671402,-0.004094904,-0.01545299,0.00235231,-0.009247107,-0.004568162,0.002571993,-3.55524e-4,0.005689781,-0.005080408,0.001297569,0.003022264,5.45193e-4,-4.13114e-4,-0.001156697,-0.002050741,5.33825e-4,-4.35712e-4,-2.49319e-4,-7.28525e-4,7.44641e-4,-8.51275e-4
albermarlensis,SN,SN14-04,1,NA,NA,arboreal,17.5386888,-0.100452343,0.016192785,-0.033530256,-0.018325872,0.024077641,0.007297414,-0.02271006,-0.014119521,-0.009777513,0.012989271,-0.001371357,-0.001063599,-0.004237495,-0.001441687,0.00369574,-0.001042239,0.003685173,4.85853e-4,3.64351e-4,7.79018e-4,0.002055908,0.001226015,0.003769732,-0.0032725470000000002,9.82e-5,-0.001560281,0.001425922,-4.84416e-4
albermarlensis,SN,SN14-04,1,NA,NA,arboreal,18.32788835,-0.071217094,0.008056243,-0.020259969,-0.015826658,0.009908761,0.018895053,-0.0176121,-0.006444688,-0.001491312,0.014362018,-0.003492155,-0.008827348,0.001437848,0.001811938,0.00321792,-0.003206826,-0.001351596,-0.001386817,4.9939e-4,-3.74115e-4,3.52531e-4,-0.003650377,0.002172744,-2.97564e-4,0.00126254,-0.002216003,1.69117e-4,-1.59838e-4
albermarlensis,SN,SN14-04,1,NA,NA,arboreal,19.7694851,-0.091707766,0.011058303,-0.021632098,-0.004162459,0.012701944,0.011459902,-0.017612061,-0.009636999,-0.006883171,0.009841147,2.11831e-4,-0.009388562,0.001300173,0.003381216,-0.001294872,-5.26134e-4,-0.002609177,-0.004434862,0.00545193,-2.12274e-4,6.44199e-4,8.31e-5,0.001422326,-3.69323e-4,0.002212294,-0.002076976,4.28095e-4,-8.43702e-4
albermarlensis,SN,SN14-05,1,NA,NA,arboreal,18.99528469,-0.106390736,0.005447061,-0.035095835,-0.001473821,0.010179309,0.019458496,-0.016630618,-0.008428893,-0.009096817,0.006894412,-8.1e-5,0.003305674,-0.003695632,-0.005194005,0.002062529,-0.002904951,-0.001755973,-0.007205534,0.001507829,0.002354054,5.77494e-4,-9.70391e-4,5.90019e-4,-0.002290002,5.23104e-4,-0.00123289,-0.001233474,2.04681e-4
albermarlensis,SN,SN14-05,1,NA,NA,arboreal,18.90689799,-0.10367324,0.009365504,-0.032921604,-0.019755703,0.015962014,0.009372799,-0.014638875,-0.005306733,-0.005157322,0.011234922,-0.002489477,-0.003171019,-0.004357022,-0.002845651,0.001680576,-0.005418504,-0.001296176,0.001885479,0.003615552,0.003384029,1.32039e-4,0.00253175,0.002460575,-0.001862207,5.27528e-4,-8.16533e-4,0.001038474,-1.60984e-4
albermarlensis,SN,SN14-05,1,NA,NA,arboreal,19.7738295,-0.074481575,0.003681579,-0.005325672,-0.014431568,0.010984352,0.011366541,-0.016642164,-2.41e-5,-0.013226967,0.012261935,7.91146e-4,3.01e-5,-0.004068258,-0.007510546,0.006933139,-0.001395674,-7.7793e-4,-5.0149e-4,0.001543995,0.001307221,-5.1e-5,3.29393e-4,0.001115922,-0.001657797,-0.001477556,-0.001702089,-7.22e-5,4.09318e-4
albermarlensis,SN,SN14-05,1,NA,NA,arboreal,19.47199179,-0.053615545,0.019182583,-0.00881758,-0.015567982,0.003642957,0.015994241,-0.012516963,-0.010035784,-0.001982294,0.010091836,-0.003334608,-0.001825578,-0.006985515,-5.6609e-4,0.00172359,-8.93294e-4,0.001406694,0.003672966,7.85077e-4,0.001100664,3.05364e-4,-3.81819e-4,0.001440084,-9.66501e-4,-5.688e-4,-1.96239e-4,4.99553e-4,4.59e-5
albermarlensis,SN,SN14-05,1,NA,NA,arboreal,19.37359954,-0.086691853,0.005321113,-0.020501909,-0.004396491,0.004485802,0.010687832,-0.011746467,-0.001752564,-0.008525036,0.01349976,0.002933726,-0.005266145,0.003959517,-9.20649e-4,0.005915518,-0.004781481,0.001009231,-0.003118658,5.08981e-4,0.001066484,-2.19502e-4,-5.25583e-4,0.001392224,2.40991e-4,0.001113341,-0.001864596,2.95438e-4,6.02e-5
albermarlensis,SN,SN14-05,1,NA,NA,arboreal,19.19098272,-0.075307959,0.006031616,-0.013623095,-0.010907628,0.004794218,0.006074938,-0.018193435,-0.002723509,-0.009248793,0.011748059,0.004323915,-6.21e-5,-0.006517616,0.004921473,0.002130069,-0.00402858,7.07908e-4,-0.003628777,7.76503e-4,0.004080316,0.001565917,-0.001826532,-3.09626e-4,-0.001315104,-4.95871e-4,-0.001562678,-4.69286e-4,1.27753e-4
albermarlensis,SN,SN14-05,1,NA,NA,arboreal,19.45014601,-0.075953116,0.013863149,-0.025111097,0.005083003,-0.001279891,0.014561699000000001,-0.015889713,-0.0060425,-0.00964984,0.003732635,-0.001262514,-9.11159e-4,-0.003864007,-1.21586e-4,0.001572781,6.04449e-4,0.006847126,0.002859351,-0.001688292,0.002851762,-0.001460867,0.004048534,0.001366374,-0.001241177,4.42466e-4,-3.82905e-4,8.26686e-4,-3.49962e-4
albermarlensis,SN,SN14-05,1,NA,NA,arboreal,20.08529362,-0.064088643,0.003394164,-0.007370459,-4.19e-5,-0.004864427,-0.002059523,-0.018605666,-0.005480652,-2.92805e-4,0.004604471,0.001658494,-0.004082316,0.004089373,5.6252e-4,0.002634331,-6.56845e-4,0.00469262,0.001191851,0.002138203,-6.85137e-4,6.03e-5,0.004519904,0.001145236,-3.67409e-4,2.96442e-4,4.31296e-4,0.001049462,-1.625e-4
